192.168.0.68 - - [06/Aug/2016:11:02:19 +0300] "GET /jira/s/30767775aef484c05221cb255bd3f953-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/0c798f90b1a61deafa1d5193fc512be9/_/download/contextbatch/js/_super/batch.js?atlassian.aui.raphael.disabled=true&locale=ru-RU HTTP/1.1" 200 558284
192.168.0.68 - - [06/Aug/2016:11:02:23 +0300] "GET /jira/rest/api/1.0/shortcuts/71013/eaad701d6e8e35d59d755932e47bdf7d/shortcuts.js HTTP/1.1" 200 478
192.168.0.68 - - [06/Aug/2016:11:02:23 +0300] "POST /jira/rest/webResources/1.0/resources HTTP/1.1" 200 340
192.168.0.68 - - [06/Aug/2016:11:02:24 +0300] "POST /jira/rest/webResources/1.0/resources HTTP/1.1" 200 426
192.168.0.68 - - [06/Aug/2016:11:02:24 +0300] "GET /jira/s/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/4.2.0/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/images/icons/tools_20.png HTTP/1.1" 200 329
192.168.0.68 - - [06/Aug/2016:11:02:24 +0300] "GET /jira/s/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/5.7.46/_/download/resources/com.atlassian.auiplugin:aui-experimental-iconfont/atlassian-icons.woff HTTP/1.1" 200 59848
192.168.0.68 - - [06/Aug/2016:11:02:25 +0300] "POST /jira/plugins/servlet/gadgets/dashboard-diagnostics HTTP/1.1" 200 276
192.168.0.68 - - [06/Aug/2016:11:02:25 +0300] "GET /jira/s/c9ff37db50df8cb108d30c4f3fbff554-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/2debe320fb513fe694db7d8aac2593f5/_/download/contextbatch/css/jira.webresources:mentions-feature,-_super/batch.css HTTP/1.1" 200 421
192.168.0.68 - - [06/Aug/2016:11:02:26 +0300] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/017bee1cfb84708a7ba1e4bae9f57901/_/download/contextbatch/js/browser-metrics-plugin.contrib,-_super,-atl.dashboard,-atl.general/batch.js HTTP/1.1" 200 17647
192.168.0.68 - - [06/Aug/2016:11:02:26 +0300] "GET /jira/s/42e39823ff42a3e4375b3ad69050532c-CDN/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/2debe320fb513fe694db7d8aac2593f5/_/download/contextbatch/js/jira.webresources:mentions-feature,-_super/batch.js?locale=ru-RU HTTP/1.1" 200 13112
192.168.0.68 - - [06/Aug/2016:11:02:26 +0300] "GET /jira/rest/qr/1.0/batching?_=1470470545361 HTTP/1.1" 200 423
192.168.0.68 - - [06/Aug/2016:11:02:27 +0300] "GET /jira/s/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/_/favicon.ico HTTP/1.1" 200 6093
192.168.0.68 - - [06/Aug/2016:11:02:27 +0300] "GET /jira/s/ru_RUo881z5/71013/b6b48b2829824b869586ac216d119363/4.2.0/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/images/icons/gadget-tools.gif HTTP/1.1" 200 302
192.168.0.68 - - [06/Aug/2016:11:02:32 +0300] "POST /jira/rest/analytics/1.0/publish/bulk HTTP/1.1" 200 40
192.168.0.68 - - [06/Aug/2016:11:02:35 +0300] "POST /jira/rest/gadget/1.0/login HTTP/1.1" 200 225
192.168.0.68 - - [06/Aug/2016:11:02:36 +0300] "GET /jira HTTP/1.1" 302 -
192.168.0.68 - - [06/Aug/2016:11:02:36 +0300] "GET /jira/ HTTP/1.1" 302 -
192.168.0.68 - - [06/Aug/2016:11:02:39 +0300] "GET /jira/secure/WelcomeToJIRA.jspa HTTP/1.1" 200 10199
